File: Air_Freshener_915.png | True: Black (0) | Pred: Blue (1)
File: Broken_Glass_917.png | True: Black (0) | Pred: Blue (1)
File: Broken_glass_cup_1037.png | True: Black (0) | Pred: Blue (1)
File: Comb_1715.png | True: Black (0) | Pred: TTR (3)
File: Deoderant_Container_114.png | True: Black (0) | Pred: TTR (3)
File: Dirty_Tinfoil_920.png | True: Black (0) | Pred: Blue (1)
File: Expired_Lightbulb_601.png | True: Black (0) | Pred: TTR (3)
File: Full_Lip_Balm_926.png | True: Black (0) | Pred: TTR (3)
File: Full_Toothpaste_928.png | True: Black (0) | Pred: Blue (1)
File: Kleenex_Box_74.png | True: Black (0) | Pred: Blue (1)
File: LightBulb_132.png | True: Black (0) | Pred: TTR (3)
File: Lightbulb_934.png | True: Black (0) | Pred: Blue (1)
File: Mio_container_314.png | True: Black (0) | Pred: TTR (3)
File: Mixed_packaging_of_snacks_2679.png | True: Black (0) | Pred: Blue (1)
File: Pen_1737.png | True: Black (0) | Pred: TTR (3)
File: Plastic_Wrapper_2513.png | True: Black (0) | Pred: Blue (1)
File: Plastic_tape_dispenser_2802.png | True: Black (0) | Pred: Blue (1)
File: Soiled_Cling_Wrap_953.png | True: Black (0) | Pred: Blue (1)
File: Styrofoam_Packaging_141.png | True: Black (0) | Pred: Blue (1)
File: Used_Aluminium_Foil_1699.png | True: Black (0) | Pred: Blue (1)
File: Used_Deoderant_632.png | True: Black (0) | Pred: Blue (1)
File: Used_candle_630.png | True: Black (0) | Pred: TTR (3)
File: Used_empty_pen_633.png | True: Black (0) | Pred: TTR (3)
File: Yogurt_Container_Foil_Lid_153.png | True: Black (0) | Pred: Blue (1)
File: _mm_pen_2951.png | True: Black (0) | Pred: TTR (3)
File: badge_pin_1556.png | True: Black (0) | Pred: TTR (3)
File: bandaid_wrapper_3055.png | True: Black (0) | Pred: Green (2)
File: biodegradable_bag_837.png | True: Black (0) | Pred: Green (2)
File: black_plastic_ink_pen_1267.png | True: Black (0) | Pred: TTR (3)
File: blue_erasable_pen_2952.png | True: Black (0) | Pred: TTR (3)
File: blue_pen_2208.png | True: Black (0) | Pred: TTR (3)
File: blue_perfume_glass_bottle_1268.png | True: Black (0) | Pred: Blue (1)
File: body_lotion_tube_2082.png | True: Black (0) | Pred: TTR (3)
File: bottle_lid_2083.png | True: Black (0) | Pred: Blue (1)
File: bottle_lid_2515.png | True: Black (0) | Pred: Blue (1)
File: bread_bag_2808.png | True: Black (0) | Pred: Blue (1)
File: bread_bag_clip_107.png | True: Black (0) | Pred: TTR (3)
File: bread_plastic_bag_2809.png | True: Black (0) | Pred: Blue (1)
File: bread_platic_bag_1036.png | True: Black (0) | Pred: Blue (1)
File: broken_dog_squeaker_2953.png | True: Black (0) | Pred: Green (2)
File: broken_hair_tie_419.png | True: Black (0) | Pred: TTR (3)
File: broken_plate_1710.png | True: Black (0) | Pred: TTR (3)
File: broken_scissors_2086.png | True: Black (0) | Pred: TTR (3)
File: broken_sharp_blade_1063.png | True: Black (0) | Pred: TTR (3)
File: brooken_lighter_2810.png | True: Black (0) | Pred: TTR (3)
File: butter_3361.png | True: Black (0) | Pred: Blue (1)
File: butter_package_dirty_2516.png | True: Black (0) | Pred: Blue (1)
File: candy_bar_wrapper_2385.png | True: Black (0) | Pred: Blue (1)
File: candy_package_3103.png | True: Black (0) | Pred: Blue (1)
File: candy_wrapper_1142.png | True: Black (0) | Pred: Blue (1)
File: candy_wrapper_3104.png | True: Black (0) | Pred: Blue (1)
File: cereal_outer_wrap_3399.png | True: Black (0) | Pred: Blue (1)
File: chapstick_2956.png | True: Black (0) | Pred: TTR (3)
File: chapstick_2957.png | True: Black (0) | Pred: TTR (3)
File: chapstick_3284.png | True: Black (0) | Pred: TTR (3)
File: cheese_packaging_dirty_2520.png | True: Black (0) | Pred: Blue (1)
File: cheese_wrapper_1111.png | True: Black (0) | Pred: Blue (1)
File: chewing_gum_box_2665.png | True: Black (0) | Pred: Blue (1)
File: chocolate_almond_plastic_bag_219.png | True: Black (0) | Pred: Blue (1)
File: chocolate_packet_2813.png | True: Black (0) | Pred: Blue (1)
File: chocolate_snack_plastic_wrapper_2958.png | True: Black (0) | Pred: Blue (1)
File: chocolate_wrapper_1888.png | True: Black (0) | Pred: Blue (1)
File: chocolate_wrapper_1889.png | True: Black (0) | Pred: Blue (1)
File: chutney_container_1426.png | True: Black (0) | Pred: Blue (1)
File: clean_furnace_filter_1714.png | True: Black (0) | Pred: TTR (3)
File: cleaning_wipe_2815.png | True: Black (0) | Pred: Green (2)
File: coffee_bag_112.png | True: Black (0) | Pred: Blue (1)
File: coffee_k_cup_with_grounds_426.png | True: Black (0) | Pred: TTR (3)
File: cologne_1561.png | True: Black (0) | Pred: Blue (1)
File: coloured_markers_1593.png | True: Black (0) | Pred: TTR (3)
File: cookie_plastic_wrapper_2818.png | True: Black (0) | Pred: Blue (1)
File: crumbled_chocolate_wrapper_3286.png | True: Black (0) | Pred: Blue (1)
File: crumpled_duct_tape_3288.png | True: Black (0) | Pred: TTR (3)
File: crumpled_tissue_on_grey_surface_2820.png | True: Black (0) | Pred: Green (2)
File: dead_LED_light_bulb_429.png | True: Black (0) | Pred: TTR (3)
File: dental_floss_1428.png | True: Black (0) | Pred: Green (2)
File: deodarant_stick_1893.png | True: Black (0) | Pred: Blue (1)
File: deodarant_stick_1894.png | True: Black (0) | Pred: Blue (1)
File: deoderant_3289.png | True: Black (0) | Pred: Blue (1)
File: deoderant_stick_2091.png | True: Black (0) | Pred: Blue (1)
File: deodorant_1039.png | True: Black (0) | Pred: Blue (1)
File: deodorant_stick_1895.png | True: Black (0) | Pred: Blue (1)
File: deodorant_stick_3441.png | True: Black (0) | Pred: Blue (1)
File: deodorant_stick_599.png | True: Black (0) | Pred: Blue (1)
File: dirty_Candy_bar_wrapper_2092.png | True: Black (0) | Pred: Blue (1)
File: dirty_aluminum_foil_2245.png | True: Black (0) | Pred: Blue (1)
File: dirty_boxer_2144.png | True: Black (0) | Pred: TTR (3)
File: dirty_cheese_package_115.png | True: Black (0) | Pred: Blue (1)
File: dirty_chicken_package_116.png | True: Black (0) | Pred: Blue (1)
File: dirty_coveralls_2388.png | True: Black (0) | Pred: Blue (1)
File: dirty_drink_lid_1718.png | True: Black (0) | Pred: Green (2)
File: dirty_filter_1040.png | True: Black (0) | Pred: TTR (3)
File: dirty_foam_steak_container_117.png | True: Black (0) | Pred: Blue (1)
File: dirty_furnace_filter_1719.png | True: Black (0) | Pred: TTR (3)
File: dirty_latex_glove_430.png | True: Black (0) | Pred: Green (2)
File: dirty_nuttella_tin_wrapper_2246.png | True: Black (0) | Pred: TTR (3)
File: dirty_plastic_lid_2247.png | True: Black (0) | Pred: Blue (1)
File: dirty_sauce_cup_295.png | True: Black (0) | Pred: Blue (1)
File: dirty_snack_bag_1721.png | True: Black (0) | Pred: Blue (1)
File: dirty_sponge_755.png | True: Black (0) | Pred: TTR (3)
File: dirty_tissue_paper_1898.png | True: Black (0) | Pred: Blue (1)
File: dirty_toothbrush_2530.png | True: Black (0) | Pred: TTR (3)
File: dirty_used_qtip_1182.png | True: Black (0) | Pred: Green (2)
File: disposable_razor_2094.png | True: Black (0) | Pred: TTR (3)
File: disposable_razor_3443.png | True: Black (0) | Pred: Green (2)
File: disposable_vape_pen_2095.png | True: Black (0) | Pred: TTR (3)
File: dog_treats_2252.png | True: Black (0) | Pred: Blue (1)
File: dried_cranberry_bag_1899.png | True: Black (0) | Pred: Blue (1)
File: dried_cranberry_bag_1900.png | True: Black (0) | Pred: Blue (1)
File: dried_gluestick_1564.png | True: Black (0) | Pred: Blue (1)
File: dryer_lint_2894.png | True: Black (0) | Pred: Green (2)
File: dryer_sheets_2147.png | True: Black (0) | Pred: Blue (1)
File: dyer_lint_3113.png | True: Black (0) | Pred: TTR (3)
File: empty_baby_pouch_761.png | True: Black (0) | Pred: Blue (1)
File: empty_chicken_pack_722.png | True: Black (0) | Pred: Blue (1)
File: empty_chip_bag_3115.png | True: Black (0) | Pred: Blue (1)
File: empty_chips_bag_1903.png | True: Black (0) | Pred: Blue (1)
File: empty_coffee_pod_3116.png | True: Black (0) | Pred: TTR (3)
File: empty_cookie_packaging_3295.png | True: Black (0) | Pred: Blue (1)
File: empty_deodrant_stick_1724.png | True: Black (0) | Pred: Blue (1)
File: empty_dried_mango_bag_1904.png | True: Black (0) | Pred: Blue (1)
File: empty_food_packet_2966.png | True: Black (0) | Pred: Blue (1)
