Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Air_Freshener_915.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Comb_1715.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Deoderant_Container_114.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Expired_Lightbulb_601.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Kleenex_Box_74.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Lighter_935.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Mio_container_314.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Old_Mechanical_Pencile_1735.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Plastic_Bag_941.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Plastic_Bread_Bag_944.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Plastic_Wrapper_2513.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Soiled_Cling_Wrap_953.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Take_Out_Sauce_Container_143.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_Aluminium_Foil_1699.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_candle_630.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_empty_pen_633.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/biodegradable_bag_837.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/black_plastic_bag_1266.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/black_plastic_ink_pen_1267.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/blue_perfume_glass_bottle_1268.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/bottle_hand_pump_1421.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/bread_bag_2808.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/bread_bag_clip_107.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/bread_plastic_bag_2809.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/bread_platic_bag_1036.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/broken_dog_squeaker_2953.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/broken_golf_shaft_3282.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/broken_scissors_2086.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/broken_sharp_blade_1063.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/brooken_lighter_2810.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/butter_3361.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/butter_package_dirty_2516.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/cereal_outer_wrap_3399.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/cheese_packaging_dirty_2520.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/chutney_container_1426.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/cologne_1561.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/comb_1038.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/compostable_lip_balm_1498.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/cookie_plastic_wrapper_2818.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/crumbled_chocolate_wrapper_3286.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/crumpled_tissue_on_grey_surface_2820.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/dead_LED_light_bulb_429.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/dental_floss_2386.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/deoderant_3289.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/deodorant_1039.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/deodorant_stick_1895.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/deodorant_stick_3441.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/deodorant_stick_599.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/dirty_aluminum_foil_2245.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/dirty_boxer_2144.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/dirty_tissue_paper_1898.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_bag_of_green_beans_3294.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_chicken_pack_722.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_cookie_packaging_3295.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_food_wrapper_767.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_ground_coffee_bag_3297.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_lighter_2150.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_lotion_bottle_3247.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_lotion_pump_1278.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_pack_of_gum_3298.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_pen_434.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_perfume_bottle_769.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_pill_sheet_2098.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_plastic_bag_303.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_plastic_granola_bag_126.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_plastic_gum_tray_435.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_popcorn_bag_2830.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_popcorn_bag_3118.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_potato_bag_3301.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_potato_chips_304.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_roll_on_772.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_tablet_packing_2532.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_tissue_box_3258.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_tissue_box_408.png | Pred: 1 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/empty_used_plastic_pen_1977.png | Pred: 3 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/expired_jam_311.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/expired_meat_183.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/expired_meat_694.png | Pred: 2 | True: 0
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/expired_perfume_bottle_1908.png | Pred: 1 | True: 0
