Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Kleenex_Box_74.png | Prediction: Blue | Actual: Black
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Soiled_Cling_Wrap_953.png | Prediction: Green | Actual: Black
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Air_Freshener_915.png | Prediction: TTR | Actual: Black
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Blue/Disposable_cup_13.png | Prediction: Black | Actual: Blue
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Blue/Dirty_Take_Out_Container_119.png | Prediction: Green | Actual: Blue
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Blue/Glass_Pot_72.png | Prediction: TTR | Actual: Blue
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Green/chewed_gum_1993.png | Prediction: Black | Actual: Green
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Green/Food_Container_71.png | Prediction: Blue | Actual: Green
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Green/Wooden_Stirstick_39.png | Prediction: TTR | Actual: Green
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/TTR/CD_case_2519.png | Prediction: Black | Actual: TTR
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/TTR/Air_freshener_spray_bottle_2133.png | Prediction: Blue | Actual: TTR
Path: /work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/TTR/Used_napkin_2723.png | Prediction: Green | Actual: TTR
